pde,model,qubits,seed,t,centroid_model,centroid_exact,hf_frac_model,hf_frac_exact
heat,qapinn,4,1234,1.0,0.50006,0.50014,0.0,0.0
heat,qapinn,4,2025,1.0,0.50035,0.50014,1e-05,0.0
heat,qapinn,4,2025,1.0,0.50035,0.50014,1e-05,0.0
heat,qapinn,4,8080,1.0,0.50002,0.50014,0.0,0.0
heat,qapinn,4,31415,1.0,0.50014,0.50014,0.0,0.0
heat,qapinn,5,777,1.0,0.50009,0.50014,0.0,0.0
heat,qapinn,5,1234,1.0,0.50002,0.50014,0.0,0.0
heat,qapinn,5,2025,1.0,0.50021,0.50014,1e-05,0.0
heat,qapinn,6,777,1.0,0.50015,0.50014,0.0,0.0
heat,qapinn,6,1234,1.0,0.50005,0.50014,0.0,0.0
heat,qapinn,6,2025,1.0,0.50011,0.50014,0.0,0.0
heat,qapinn,7,777,1.0,0.50041,0.50014,1e-05,0.0
heat,qapinn,7,1234,1.0,0.50003,0.50014,0.0,0.0
heat,qapinn,7,2025,1.0,0.50005,0.50014,0.0,0.0
heat,qapinn,8,777,1.0,0.5004,0.50014,1e-05,0.0
heat,qapinn,8,1234,1.0,0.50004,0.50014,0.0,0.0
heat,qapinn,8,2025,1.0,0.50039,0.50014,1e-05,0.0
heat,twin,3,777,1.0,0.50056,0.50014,2e-05,0.0
heat,twin,3,777,1.0,0.50056,0.50014,2e-05,0.0
heat,twin,3,1234,1.0,0.50026,0.50014,1e-05,0.0
heat,twin,3,1234,1.0,0.50026,0.50014,1e-05,0.0
heat,twin,3,2025,1.0,0.50019,0.50014,1e-05,0.0
heat,twin,3,2025,1.0,0.50019,0.50014,1e-05,0.0
heat,twin,4,777,1.0,0.50027,0.50014,1e-05,0.0
heat,twin,4,777,1.0,0.50027,0.50014,1e-05,0.0
heat,twin,4,777,1.0,0.50027,0.50014,1e-05,0.0
heat,twin,4,1234,1.0,0.50019,0.50014,1e-05,0.0
heat,twin,4,1234,1.0,0.50019,0.50014,1e-05,0.0
heat,twin,4,1234,1.0,0.50019,0.50014,1e-05,0.0
heat,twin,4,2025,1.0,0.50046,0.50014,1e-05,0.0
heat,twin,4,2025,1.0,0.50046,0.50014,1e-05,0.0
heat,twin,4,2025,1.0,0.50046,0.50014,1e-05,0.0
heat,twin,4,8080,1.0,0.50027,0.50014,1e-05,0.0
heat,twin,4,31415,1.0,0.50039,0.50014,1e-05,0.0
heat,twin,5,777,1.0,0.50027,0.50014,1e-05,0.0
heat,twin,5,777,1.0,0.50027,0.50014,1e-05,0.0
heat,twin,5,1234,1.0,0.50059,0.50014,2e-05,0.0
heat,twin,5,1234,1.0,0.50059,0.50014,2e-05,0.0
heat,twin,5,2025,1.0,0.50024,0.50014,1e-05,0.0
heat,twin,5,2025,1.0,0.50024,0.50014,1e-05,0.0
heat,twin,6,777,1.0,0.50026,0.50014,1e-05,0.0
heat,twin,6,777,1.0,0.50026,0.50014,1e-05,0.0
heat,twin,6,1234,1.0,0.5002,0.50014,1e-05,0.0
heat,twin,6,1234,1.0,0.5002,0.50014,1e-05,0.0
heat,twin,6,2025,1.0,0.50051,0.50014,2e-05,0.0
heat,twin,6,2025,1.0,0.50051,0.50014,2e-05,0.0
heat,twin,7,777,1.0,0.50045,0.50014,1e-05,0.0
heat,twin,7,777,1.0,0.50045,0.50014,1e-05,0.0
heat,twin,7,1234,1.0,0.5002,0.50014,1e-05,0.0
heat,twin,7,1234,1.0,0.5002,0.50014,1e-05,0.0
heat,twin,7,2025,1.0,0.50101,0.50014,3e-05,0.0
heat,twin,7,2025,1.0,0.50101,0.50014,3e-05,0.0
heat,twin,8,777,1.0,0.50013,0.50014,0.0,0.0
heat,twin,8,777,1.0,0.50013,0.50014,0.0,0.0
heat,twin,8,1234,1.0,0.50022,0.50014,1e-05,0.0
heat,twin,8,1234,1.0,0.50022,0.50014,1e-05,0.0
heat,twin,8,2025,1.0,0.50025,0.50014,1e-05,0.0
heat,twin,8,2025,1.0,0.50025,0.50014,1e-05,0.0
