path,run,series,model,nu,n_feat,variance,model_labelled
WISER Results/Phase 2/Djabon Phase 2/Tiers12_q38_more_iter/qapinn_runs/results/V5_gradient_variance.npz,Tiers12_q38_more_iter,var,qapinn,0.05,4,0.26642104983329773,False
WISER Results/Phase 2/Djabon Phase 2/Tiers12_q38_more_iter/qapinn_runs/results/V5_gradient_variance.npz,Tiers12_q38_more_iter,var,qapinn,0.05,5,0.16941986978054047,False
WISER Results/Phase 2/Djabon Phase 2/Tiers12_q38_more_iter/qapinn_runs/results/V5_gradient_variance.npz,Tiers12_q38_more_iter,var,qapinn,0.05,6,0.18531684577465057,False
WISER Results/Phase 2/Djabon Phase 2/Tiers12_q38_more_iter/qapinn_runs/results/V5_gradient_variance.npz,Tiers12_q38_more_iter,var,qapinn,0.05,7,0.21895264089107513,False
WISER Results/Phase 2/Djabon Phase 2/Tiers12_q38_more_iter/qapinn_runs/results/V5_gradient_variance.npz,Tiers12_q38_more_iter,var,qapinn,0.05,8,0.04443173110485077,False
WISER Results/Phase 2/Roland phase 2/wiser/qapinn_runs/results/B_gradient_variance.npz,wiser,var,qapinn,0.05,3,0.7599380016326904,False
WISER Results/Phase 2/Roland phase 2/wiser/qapinn_runs/results/B_gradient_variance.npz,wiser,var,qapinn,0.05,4,0.35314446687698364,False
WISER Results/Phase 2/Roland phase 2/wiser/qapinn_runs/results/B_gradient_variance.npz,wiser,var,qapinn,0.05,5,0.10953262448310852,False
WISER Results/Phase 2/Roland phase 2/wiser/qapinn_runs/results/B_gradient_variance.npz,wiser,var,qapinn,0.05,6,0.33590811491012573,False
WISER Results/Phase 2/Roland phase 2/wiser/qapinn_runs/results/B_gradient_variance.npz,wiser,var,qapinn,0.05,7,0.3632148206233978,False
