config,pde,model,n_features,n_seeds,params,memory_kb,L2_mean,L2_sd,pde_residual_mean,data_loss_mean,train_time_s_mean,extrapolation_L2_mean,dead_runs
shah_easy_n3,burgers,recipe,3,3,76,0.3,0.06690418804309532,0.04244219948896846,0.014667405746877193,0.0005812440358567983,0.0,0.36236983391597316,0
shah_easy_n3,burgers,shah,3,3,75,0.29,0.7697971156187263,0.005693560208530899,0.48134928941726685,0.0491352416574955,0.0,1.103543107048926,0
shah_hard_n3,burgers,recipe,3,3,76,0.3,0.4419532367694319,0.037949255475049744,0.1219261884689331,0.0056555924626688165,0.0,0.5668703853664002,1
shah_hard_n3,burgers,shah,3,3,75,0.29,0.6773010432016378,0.03122173800355627,0.4257725775241852,0.030959269031882286,0.0,1.1939125666315318,0
shah_easy_n4,burgers,recipe,4,3,189,0.74,0.021444262530461732,0.010387562269850386,0.004682951994861166,0.00010575376321260895,0.0,0.31515995795966156,0
shah_easy_n4,burgers,shah,4,3,195,0.76,0.7590807875402533,0.06085767080335138,0.49012743433316547,0.03299702393511931,0.0,1.0631573622399193,0
shah_hard_n4,burgers,recipe,4,3,189,0.74,0.4295511574327074,0.0695184264675083,0.09134056667486827,0.00420297038120528,0.0,0.6840381458011201,0
shah_hard_n4,burgers,shah,4,3,195,0.76,0.7036846999423046,0.05026980474527789,0.4607522090276082,0.027531977742910385,0.0,1.0614814175602525,0
shah_easy_n5,burgers,recipe,5,3,593,2.32,0.010253057857435292,0.003092101664905917,0.0014586270553991199,3.0511543324488837e-05,0.0,0.28317822652205027,0
shah_easy_n5,burgers,shah,5,3,585,2.29,0.5096117326339492,0.08181665693540602,0.3077390988667806,0.011011000412205854,0.0,1.0644976736047724,0
shah_hard_n5,burgers,recipe,5,3,593,2.32,0.24586908488858228,0.12445186282348815,0.047733016312122345,0.0021180833864491433,0.0,1.3017840728760999,0
shah_hard_n5,burgers,shah,5,3,585,2.29,0.56899241051976,0.0342159791260722,0.29396016399065655,0.011061021437247595,0.0,1.1105641582460941,0
