config,pde,model,n_features,n_seeds,params,memory_kb,L2_mean,L2_sd,pde_residual_mean,data_loss_mean,train_time_s_mean,extrapolation_L2_mean,dead_runs
burgers_n3,burgers,qapinn,3,5,1801,7.04,0.011695715054783283,0.012628161943621827,0.001584786858438747,2.8275781528463994e-05,0.0,0.4025558771789853,0
burgers_n3,burgers,twin,3,5,1801,7.04,0.07247175330043495,0.15088401731869966,0.03751124604787037,0.0037776382210466864,0.0,0.26085552141980095,0
burgers_n4,burgers,qapinn,4,5,1827,7.14,0.004573203767305044,0.002975199106508329,0.0001738971477607265,4.5135707523513705e-06,0.0,0.20782059928758295,0
burgers_n4,burgers,twin,4,5,1827,7.14,0.01425823301670267,0.02199178238098294,0.004227033198185381,9.644834045872131e-05,0.0,0.043488121748940664,0
burgers_n5,burgers,qapinn,5,5,1853,7.24,0.004539247856936076,0.005340010421389049,0.00017356146308884491,2.3120735733073163e-06,0.0,0.13869497130607206,0
burgers_n5,burgers,twin,5,5,1853,7.24,0.0009645252845197972,0.0001957192265771337,2.1920938343100717e-05,2.50130415224703e-07,0.0,0.01711931382441047,0
heat_n4,heat,qapinn,4,5,1827,7.14,0.0019144823207358052,0.0014303141667945064,8.511270043527474e-05,4.588596092958142e-06,0.0,0.028845467556953008,0
heat_n4,heat,twin,4,5,1827,7.14,0.0023080124125327795,0.0028958023809351526,0.00020408147420312162,2.7381235028656194e-06,0.0,0.02683125631438984,0
