pde,n_features,params,qapinn_L2,twin_L2,ratio,winner
burgers,3,1801,0.01149164,0.31982218509550014,27.830856613633927,QAPINN
burgers,4,1827,0.005683449,0.014422160807580164,2.5375719580804126,QAPINN
burgers,5,1853,0.004151443,0.015224681437558405,3.6673227688681753,QAPINN
heat,3,1801,0.01205264,0.003288245465355884,0.2728236689518549,twin
heat,4,1827,0.003815476,0.006634556605211066,1.7388542360667623,QAPINN
heat,5,1853,0.004670265,0.0014098260831843616,0.3018728237443403,twin
burgers-HARD,5,1853,0.003567357,0.0024970831374041902,0.6999812851374814,twin
