config,pde,model,n_features,n_seeds,params,memory_kb,L2_mean,L2_sd,pde_residual_mean,data_loss_mean,train_time_s_mean,extrapolation_L2_mean,dead_runs
hard_burgers_n3,burgers,twin,3,3,1801,7.04,0.013382873571468208,0.006207465381124235,0.0003337086091050878,4.7133236193985795e-06,0.0,0.03538950113867622,0
hard_burgers_n4,burgers,twin,4,3,1827,7.14,0.04527059770199195,0.04438330693462588,0.0011901685599392902,1.8857893868092408e-05,0.0,0.1608079780647916,0
hard_burgers_n5,burgers,twin,5,3,1853,7.24,0.19843769169009892,0.3327673564632523,0.0008233603184635285,1.0899298795645032e-05,0.0,0.40668629853657107,0
hard_burgers_n6,burgers,twin,6,3,1879,7.34,0.005704756401256509,0.0006638366649750346,5.8802418304064e-05,4.999614541626821e-07,0.0,0.022144428491330373,0
hard_burgers_n7,burgers,twin,7,3,1905,7.44,0.06989291078158984,0.1071180610919053,0.005957031549769454,0.0001763777325057466,0.0,0.605504960507311,0
hard_burgers_n8,burgers,twin,8,3,1931,7.54,0.027765719208075006,0.024640543018714295,4.172926492174156e-05,5.261439923742728e-07,0.0,0.0506584399267867,0
