ckaLL_L0_front__L1,ckaLL_L0_front__L2,ckaLL_L0_front__L3,ckaLL_L0_front__L4,ckaLL_L0_front__L5,ckaLL_L0_quantum__L1,ckaLL_L0_quantum__L2,ckaLL_L0_quantum__L3,ckaLL_L0_quantum__L4,ckaLL_L0_quantum__L5,ckaLL_L1__L2,ckaLL_L1__L3,ckaLL_L1__L4,ckaLL_L1__L5,ckaLL_L2__L3,ckaLL_L2__L4,ckaLL_L2__L5,ckaLL_L3__L4,ckaLL_L3__L5,ckaLL_L4__L5,cka_L0_front_out,cka_L0_quantum_out,cka_L1_out,cka_L2_out,cka_L3_out,cka_L4_out,cka_L5_out,in_primary,model,n_feat,nu,pde,retry,seed,t,tag
0.9951011127368911,0.9331344380422434,0.7759531331844925,0.7391519748582335,0.7325103315978673,,,,,,0.9637603378137093,0.8330213028860833,0.8006860831536314,0.7947612690428987,0.950126640524342,0.9312873652362579,0.9275259935156829,0.9983295652434485,0.9973982869096871,0.9997825838355723,0.7170373986958639,,0.7807682745700832,0.9187092995512388,0.9956955055161105,0.9992790271766561,0.9997103568780739,True,gaaf,3,0.01/pi,burgers,False,1234,0.0,MS_hard_burgers_n3_gaaf_s1234
0.9951011191687154,0.9330809990973632,0.7757181758359849,0.7388662785713148,0.7322184267765782,,,,,,0.9637204513575904,0.8328137060300148,0.800430252662442,0.7944989748135677,0.9500554648506764,0.9311856855962213,0.9274196100608519,0.9983265631646201,0.9973938799528909,0.9997822036263591,0.7167382778579314,,0.7804978564414863,0.9185963446264799,0.9956897032240268,0.9992783890966376,0.9997102907680231,True,gaaf,3,0.01/pi,burgers,False,1234,0.04,MS_hard_burgers_n3_gaaf_s1234
0.9951006329886405,0.933020022518438,0.7754587460222966,0.7385522029747615,0.7318962465519029,,,,,,0.9636762444455852,0.8325871443548631,0.8001519090343518,0.7942124393902005,0.9499785852236682,0.9310761635501635,0.9273042822184391,0.9983233616392708,0.9973890501995062,0.9997817821592968,0.716407520384581,,0.7802018804146461,0.918473535586532,0.9956832679497929,0.9992776143092518,0.9997101956806602,True,gaaf,3,0.01/pi,burgers,False,1234,0.08,MS_hard_burgers_n3_gaaf_s1234
0.9950996508343469,0.9329514783336328,0.7751747903995895,0.738209716825663,0.731543767310844,,,,,,0.9636277028201352,0.8323415850283163,0.7998510393336964,0.7939016566397205,0.9498959973671528,0.9309588073355176,0.9271800221785776,0.9983199623984845,0.9973837998046998,0.9997813193153621,0.7160450984916428,,0.7798803368838957,0.918340883186383,0.9956762029515335,0.999276702999136,0.9997100713612264,True,gaaf,3,0.01/pi,burgers,False,1234,0.12,MS_hard_burgers_n3_gaaf_s1234
0.9950981744407001,0.9328753788637824,0.7748663115604868,0.7378388056193566,0.7311609638071985,,,,,,0.9635748303704875,0.8320770171337091,0.7995276160047109,0.7935665888122406,0.9498076879978914,0.9308335914155086,0.9270467977287706,0.9983163639914648,0.9973781267811926,0.999780815300528,0.7156509850350321,,0.7795331856597472,0.9181983520615798,0.9956685047940194,0.9992756547069969,0.9997099176602102,True,gaaf,3,0.01/pi,burgers,False,1234,0.16,MS_hard_burgers_n3_gaaf_s1234
0.9950962032062654,0.9327917177170845,0.7745333368357314,0.7374395222991713,0.7307479009904984,,,,,,0.9635176233370109,0.8317934647139904,0.7991816860325214,0.793207293669956,0.9497136725547708,0.9307005459305844,0.926904645302032,0.9983125680917038,0.9973720332503123,0.9997802698708669,0.715225264066715,,0.7791605019303521,0.918045990154706,0.9956601784836575,0.9992744703149826,0.9997097352272879,True,gaaf,3,0.01/pi,burgers,False,1234,0.2,MS_hard_burgers_n3_gaaf_s1234
0.9950937383102592,0.9327004989641574,0.7741758955138724,0.7370119088498928,0.7303046251517854,,,,,,0.9634560811448102,0.8314909435565038,0.7988132755495826,0.7928238006030873,0.9496139575128012,0.9305596832743166,0.9267535789601937,0.9983085754935919,0.9973655206509249,0.9997796830125442,0.7147679672189918,,0.7787623015573572,0.9178838029459011,0.9956512241958942,0.9992731492262183,0.9997095233357571,True,gaaf,3,0.01/pi,burgers,False,1234,0.24,MS_hard_burgers_n3_gaaf_s1234
0.995090778120585,0.9326016924585628,0.7737938799803461,0.7365558498561642,0.7298310169775072,,,,,,0.9633901844679699,0.8311693621167674,0.7984222847297031,0.792416005982671,0.9495085106295847,0.930410964780907,0.9265935571357489,0.9983043858188777,0.9973585880298573,0.9997790547190162,0.7142789976840997,,0.7783385004331171,0.9177117600897622,0.9956416432052769,0.9992716920371947,0.9997092827848781,True,gaaf,3,0.01/pi,burgers,False,1234,0.28,MS_hard_burgers_n3_gaaf_s1234
0.9950873235475419,0.9324953190717808,0.7733873757374633,0.7360714452477085,0.7293271846998556,,,,,,0.9633199456301625,0.8308287859282273,0.7980087917334245,0.7919839947627343,0.9493973511750493,0.9302544167421996,0.9264246099726319,0.9982999996466281,0.9973512367283545,0.9997783850174168,0.7137584616501946,,0.7778891816950773,0.917529890490021,0.9956314371937558,0.9992700991118854,0.9997090133036598,True,gaaf,3,0.01/pi,burgers,False,1234,0.32,MS_hard_burgers_n3_gaaf_s1234
0.995083374946548,0.9323813664049266,0.7729563849949838,0.7355587262472542,0.7287931573782488,,,,,,0.9632453539921721,0.8304692113266862,0.7975728178493696,0.7915277860471533,0.9492804862021936,0.9300900618364126,0.9262467586701979,0.9982954190219073,0.9973434691120466,0.9997776739786254,0.7132063927405916,,0.7774143683340385,0.9173382181303983,0.995620609711084,0.9992683705755872,0.9997087149666559,True,gaaf,3,0.01/pi,burgers,False,1234,0.36,MS_hard_burgers_n3_gaaf_s1234
