loss,model,mse_f,mse_u,n_feat,pde,retry,seed,step,tag
0.5289202928543091,gaaf,0.2263418436050415,0.03025784157216549,3,burgers,False,1234,205,MS_hard_burgers_n3_gaaf_s1234
0.5255799293518066,gaaf,0.18875902891159058,0.033682093024253845,3,burgers,False,1234,210,MS_hard_burgers_n3_gaaf_s1234
0.5323195457458496,gaaf,0.19436794519424438,0.03379515931010246,3,burgers,False,1234,215,MS_hard_burgers_n3_gaaf_s1234
0.5238343477249146,gaaf,0.21291124820709229,0.031092314049601555,3,burgers,False,1234,220,MS_hard_burgers_n3_gaaf_s1234
0.5121525526046753,gaaf,0.22582390904426575,0.028632862493395805,3,burgers,False,1234,225,MS_hard_burgers_n3_gaaf_s1234
0.5089651346206665,gaaf,0.24428357183933258,0.02646815776824951,3,burgers,False,1234,230,MS_hard_burgers_n3_gaaf_s1234
0.5086197257041931,gaaf,0.2631407082080841,0.02454790100455284,3,burgers,False,1234,235,MS_hard_burgers_n3_gaaf_s1234
0.5070492625236511,gaaf,0.26403549313545227,0.024301376193761826,3,burgers,False,1234,240,MS_hard_burgers_n3_gaaf_s1234
0.5049523115158081,gaaf,0.26279711723327637,0.024215523153543472,3,burgers,False,1234,245,MS_hard_burgers_n3_gaaf_s1234
0.5031384825706482,gaaf,0.2652900516986847,0.02378484234213829,3,burgers,False,1234,250,MS_hard_burgers_n3_gaaf_s1234
0.501638650894165,gaaf,0.26170995831489563,0.02399287186563015,3,burgers,False,1234,255,MS_hard_burgers_n3_gaaf_s1234
0.5002552270889282,gaaf,0.26097244024276733,0.02392827533185482,3,burgers,False,1234,260,MS_hard_burgers_n3_gaaf_s1234
0.4990307688713074,gaaf,0.25650349259376526,0.02425272949039936,3,burgers,False,1234,265,MS_hard_burgers_n3_gaaf_s1234
0.49789702892303467,gaaf,0.25664380192756653,0.024125324562191963,3,burgers,False,1234,270,MS_hard_burgers_n3_gaaf_s1234
0.49682050943374634,gaaf,0.25679928064346313,0.02400212362408638,3,burgers,False,1234,275,MS_hard_burgers_n3_gaaf_s1234
0.49582135677337646,gaaf,0.2555581331253052,0.02402632124722004,3,burgers,False,1234,280,MS_hard_burgers_n3_gaaf_s1234
0.494899183511734,gaaf,0.2532443702220917,0.024165481328964233,3,burgers,False,1234,285,MS_hard_burgers_n3_gaaf_s1234
0.49404627084732056,gaaf,0.2525937259197235,0.024145253002643585,3,burgers,False,1234,290,MS_hard_burgers_n3_gaaf_s1234
0.49324795603752136,gaaf,0.2520219087600708,0.024122605100274086,3,burgers,False,1234,295,MS_hard_burgers_n3_gaaf_s1234
0.49249032139778137,gaaf,0.2524343430995941,0.024005597457289696,3,burgers,False,1234,300,MS_hard_burgers_n3_gaaf_s1234
0.4917806088924408,gaaf,0.25378042459487915,0.023800019174814224,3,burgers,False,1234,305,MS_hard_burgers_n3_gaaf_s1234
0.4911158084869385,gaaf,0.2538929283618927,0.023722289130091667,3,burgers,False,1234,310,MS_hard_burgers_n3_gaaf_s1234
0.49048757553100586,gaaf,0.2536257207393646,0.023686183616518974,3,burgers,False,1234,315,MS_hard_burgers_n3_gaaf_s1234
0.48989731073379517,gaaf,0.2530648410320282,0.023683248087763786,3,burgers,False,1234,320,MS_hard_burgers_n3_gaaf_s1234
0.48934078216552734,gaaf,0.2532384395599365,0.02361023612320423,3,burgers,False,1234,325,MS_hard_burgers_n3_gaaf_s1234
0.48881852626800537,gaaf,0.2534964680671692,0.0235322043299675,3,burgers,False,1234,330,MS_hard_burgers_n3_gaaf_s1234
0.4885876774787903,gaaf,0.2552773058414459,0.023331038653850555,3,burgers,False,1234,335,MS_hard_burgers_n3_gaaf_s1234
0.5708982944488525,gaaf,0.22646737098693848,0.034443095326423645,3,burgers,False,1234,340,MS_hard_burgers_n3_gaaf_s1234
1.3185818195343018,gaaf,0.1858525276184082,0.11327292770147324,3,burgers,False,1234,345,MS_hard_burgers_n3_gaaf_s1234
1.3843181133270264,gaaf,0.20534157752990723,0.1178976520895958,3,burgers,False,1234,350,MS_hard_burgers_n3_gaaf_s1234
0.8349866271018982,gaaf,0.11239887773990631,0.07225877791643143,3,burgers,False,1234,355,MS_hard_burgers_n3_gaaf_s1234
0.671824038028717,gaaf,0.10497747361660004,0.05668465420603752,3,burgers,False,1234,360,MS_hard_burgers_n3_gaaf_s1234
0.6046026945114136,gaaf,0.12624189257621765,0.04783608019351959,3,burgers,False,1234,365,MS_hard_burgers_n3_gaaf_s1234
0.5869661569595337,gaaf,0.1787572205066681,0.0408208891749382,3,burgers,False,1234,370,MS_hard_burgers_n3_gaaf_s1234
0.5591658353805542,gaaf,0.1983373463153839,0.03608284890651703,3,burgers,False,1234,375,MS_hard_burgers_n3_gaaf_s1234
0.5358542203903198,gaaf,0.1958109587430954,0.034004323184490204,3,burgers,False,1234,380,MS_hard_burgers_n3_gaaf_s1234
0.5239351987838745,gaaf,0.20532454550266266,0.031861063092947006,3,burgers,False,1234,385,MS_hard_burgers_n3_gaaf_s1234
0.5214434862136841,gaaf,0.22041168808937073,0.030103180557489395,3,burgers,False,1234,390,MS_hard_burgers_n3_gaaf_s1234
0.5195112824440002,gaaf,0.2282913774251938,0.029121991246938705,3,burgers,False,1234,395,MS_hard_burgers_n3_gaaf_s1234
0.5148813724517822,gaaf,0.24016119539737701,0.027472015470266342,3,burgers,False,1234,400,MS_hard_burgers_n3_gaaf_s1234
0.5106384754180908,gaaf,0.24351483583450317,0.026712363585829735,3,burgers,False,1234,405,MS_hard_burgers_n3_gaaf_s1234
0.5086696147918701,gaaf,0.24998797476291656,0.025868164375424385,3,burgers,False,1234,410,MS_hard_burgers_n3_gaaf_s1234
0.5069226622581482,gaaf,0.2582648992538452,0.02486577443778515,3,burgers,False,1234,415,MS_hard_burgers_n3_gaaf_s1234
0.5047982931137085,gaaf,0.2590268552303314,0.02457714080810547,3,burgers,False,1234,420,MS_hard_burgers_n3_gaaf_s1234
0.503299355506897,gaaf,0.2585414946079254,0.024475788697600365,3,burgers,False,1234,425,MS_hard_burgers_n3_gaaf_s1234
0.5015971660614014,gaaf,0.25787410140037537,0.02437230385839939,3,burgers,False,1234,430,MS_hard_burgers_n3_gaaf_s1234
0.5001423954963684,gaaf,0.25471511483192444,0.024542726576328278,3,burgers,False,1234,435,MS_hard_burgers_n3_gaaf_s1234
0.4987911581993103,gaaf,0.2512611746788025,0.02475299872457981,3,burgers,False,1234,440,MS_hard_burgers_n3_gaaf_s1234
0.4975689649581909,gaaf,0.2508585453033447,0.0246710404753685,3,burgers,False,1234,445,MS_hard_burgers_n3_gaaf_s1234
0.4963873028755188,gaaf,0.25298160314559937,0.024340571835637093,3,burgers,False,1234,450,MS_hard_burgers_n3_gaaf_s1234
0.49532681703567505,gaaf,0.2549370527267456,0.024038977921009064,3,burgers,False,1234,455,MS_hard_burgers_n3_gaaf_s1234
0.4943326711654663,gaaf,0.25504183769226074,0.023929083719849586,3,burgers,False,1234,460,MS_hard_burgers_n3_gaaf_s1234
0.4934034049510956,gaaf,0.25411322712898254,0.023929018527269363,3,burgers,False,1234,465,MS_hard_burgers_n3_gaaf_s1234
0.4925416111946106,gaaf,0.2535540759563446,0.02389875240623951,3,burgers,False,1234,470,MS_hard_burgers_n3_gaaf_s1234
0.4917382001876831,gaaf,0.2533918023109436,0.02383464016020298,3,burgers,False,1234,475,MS_hard_burgers_n3_gaaf_s1234
0.4909859001636505,gaaf,0.25358179211616516,0.023740410804748535,3,burgers,False,1234,480,MS_hard_burgers_n3_gaaf_s1234
0.49028250575065613,gaaf,0.2540583312511444,0.0236224178224802,3,burgers,False,1234,485,MS_hard_burgers_n3_gaaf_s1234
0.4896240234375,gaaf,0.2538694739341736,0.023575453087687492,3,burgers,False,1234,490,MS_hard_burgers_n3_gaaf_s1234
0.48900678753852844,gaaf,0.2537213861942291,0.02352854050695896,3,burgers,False,1234,495,MS_hard_burgers_n3_gaaf_s1234
0.4884273409843445,gaaf,0.25383707880973816,0.023459026589989662,3,burgers,False,1234,500,MS_hard_burgers_n3_gaaf_s1234
0.48788323998451233,gaaf,0.2539444863796234,0.023393874987959862,3,burgers,False,1234,505,MS_hard_burgers_n3_gaaf_s1234
0.48737144470214844,gaaf,0.25381752848625183,0.0233553908765316,3,burgers,False,1234,510,MS_hard_burgers_n3_gaaf_s1234
0.48688966035842896,gaaf,0.25381892919540405,0.0233070719987154,3,burgers,False,1234,515,MS_hard_burgers_n3_gaaf_s1234
0.48643580079078674,gaaf,0.25385022163391113,0.02325855754315853,3,burgers,False,1234,520,MS_hard_burgers_n3_gaaf_s1234
0.48600777983665466,gaaf,0.2538142800331116,0.02321935072541237,3,burgers,False,1234,525,MS_hard_burgers_n3_gaaf_s1234
0.48560380935668945,gaaf,0.2538207173347473,0.023178309202194214,3,burgers,False,1234,530,MS_hard_burgers_n3_gaaf_s1234
0.4852219820022583,gaaf,0.25384262204170227,0.023137934505939484,3,burgers,False,1234,535,MS_hard_burgers_n3_gaaf_s1234
0.48486122488975525,gaaf,0.25381314754486084,0.02310480736196041,3,burgers,False,1234,540,MS_hard_burgers_n3_gaaf_s1234
0.48451972007751465,gaaf,0.25382474064826965,0.02306949906051159,3,burgers,False,1234,545,MS_hard_burgers_n3_gaaf_s1234
