model,n_feat,runs,phi_recovery_mean,phi_recovery_sd,phi_model_mean,l2_mean,grad_var,sec_per_step,cka_first_mean,sat_first
qapinn,3,3,0.9745364704162814,0.04029182552079712,0.018275028709850167,0.1178283787030106,0.4895545840263366,0.3130052936000538,0.5550241280933886,0.0
qapinn,4,3,0.99411148745288,0.006078040496880555,0.018642109890697967,0.09105914271870268,0.2093787789344787,0.5822400261999974,0.6602122287005995,0.0
qapinn,5,3,0.9974929164064763,0.002465387289780689,0.0187055202535558,0.025975053340188264,0.1120752990245819,0.9937312152000232,0.6187299135821054,0.0
qapinn,6,3,0.9940367638321811,0.0023172365879583503,0.018640708633428465,0.016535497619896065,0.1291274726390838,2.070096794999972,0.6232784980070694,0.0
qapinn,7,3,1.0009376539126336,0.012063863326473677,0.018770117812224967,0.05328914753674924,0.1375910192728042,4.420090954399984,0.6077475047972704,0.0
twin,3,3,0.9976741124307568,0.001597459394678306,0.018708918138238797,0.013356792475757365,2.90945053100586,0.0179282342000078,0.3700360577700017,0.1665831997863248
twin,4,3,0.9926879824340619,0.00989969009482443,0.018615415563828498,0.04539832532336369,7.41098690032959,0.0089283432000229,0.3706888338055933,0.14853766025641027
twin,5,3,0.9804474237306029,0.027905169611172648,0.018385874065361265,0.19790382731799308,1.1975122690200806,0.0089553520000663,0.5258541515226819,0.12784455128205127
twin,6,3,1.0005396065274168,0.0020704364023625974,0.0187626534149309,0.005671457833276033,1.690527081489563,0.0086595349999697,0.4663184405464683,0.13359708867521367
twin,7,3,0.9172760054589836,0.13736637603751678,0.017201249869549833,0.07007559173197113,2.7577381134033203,0.0093599593999897,0.49948157809441457,0.16597985347985347
gaaf,3,4,0.7397088516433924,0.493135156016531,0.013871415704882616,0.1875221946300937,1523.8465576171875,0.0113917597999716,0.46250909444988014,0.10301482371794872
gaaf,4,6,0.5158578438355895,0.5282316057195461,0.00967364197490716,0.25446679171781167,3058.079833984375,0.0140875100000812,0.5730301974504763,0.02782577123397436
gaaf,5,3,0.9324016191511619,0.07135545418108932,0.017484893461010897,0.13001716984132125,856.5809936523438,0.010849380000036,0.44512561638596976,0.0693008814102564
gaaf,6,3,0.9764727241354659,0.026278527930942874,0.0183113383743746,0.07790205182302616,397.7237548828125,0.0127341990000786,0.5040708481663871,0.1476779513888889
gaaf,7,3,0.9532180807509626,0.07885085171369838,0.0178752548737668,0.12249830575455405,749.1310424804688,0.0119076373999632,0.5561271656319732,0.02226419413919414
