config,pde,model,n_features,n_seeds,params,memory_kb,L2_mean,L2_sd,pde_residual_mean,data_loss_mean,train_time_s_mean,extrapolation_L2_mean,dead_runs
hard_burgers_n3,burgers,qapinn,3,3,1801,7.04,0.11803268086193114,0.06240326752876753,0.003117739222943783,5.302101211176099e-05,0.0,0.30143188253707276,0
hard_burgers_n4,burgers,qapinn,4,3,1827,7.14,0.09140025101332132,0.06244952547472285,0.00034029218659270555,5.937110699960613e-06,0.0,0.4168860354260016,0
hard_burgers_n5,burgers,qapinn,5,3,1853,7.24,0.026091094452260825,0.023589023981164272,0.00022849176214852682,2.2871127309069075e-06,0.0,0.14424194965089318,0
