config,pde,model,n_features,n_seeds,params,memory_kb,L2_mean,L2_sd,pde_residual_mean,data_loss_mean,train_time_s_mean,extrapolation_L2_mean,dead_runs
hard_burgers_n3,burgers,gaaf,3,3,1801,7.04,0.07563418345892091,0.08022094837697186,0.0008743338257772848,2.8807827031111326e-05,0.0,0.1380397095438314,0
hard_burgers_n4,burgers,gaaf,4,3,1827,7.14,0.02004547633744161,0.02275596744530978,0.0006886699908742836,1.745200158135655e-05,0.0,0.06741305023711112,0
hard_burgers_n5,burgers,gaaf,5,3,1853,7.24,0.13039404499840523,0.13819061734146387,0.005794491934163186,0.00019004777959708008,0.0,0.2769998378256116,0
hard_burgers_n6,burgers,gaaf,6,3,1879,7.34,0.07806657877731212,0.012636760308991062,0.0019241158685569342,3.344093829582562e-05,0.0,0.16488904965195247,0
hard_burgers_n7,burgers,gaaf,7,3,1905,7.44,0.12310203430137069,0.06564576215515243,0.005722919867063562,0.00015243941622126536,0.0,0.23894007286619223,0
hard_burgers_n8,burgers,gaaf,8,3,1931,7.54,0.10772142683322539,0.08568639536870551,0.006305839366784009,0.0002042681863561787,0.0,0.19171078786444054,0
